epoch,lock_timestamp,lock_price,close_price,winner,bull_payout,bear_payout,price_change_pct,cooldown_start
428069,1762538325,96620213000,96975319030,bull,1.2324,5.3020,0.3675,428069
428070,1762538630,96975319030,97245038426,bull,1.3620,3.7623,0.2781,428069
428071,1762538937,97245038426,97335790407,bull,1.3411,3.9321,0.0933,428069
428072,1762539243,97335790407,97325122109,bear,1.4130,3.4213,-0.0110,428069
428073,1762539549,97325122109,97249976547,bear,1.2025,5.9390,-0.0772,428069
428074,1762539854,97249976547,97374488144,bull,1.0372,27.9012,0.1280,428069
428075,1762540161,0,97719855927,bull,1.1357,8.3665,Infinity,428069
428076,1762540466,97719855927,97697612364,bear,1.8558,2.1685,-0.0228,428069
428100,1762547816,97933792058,98189551800,bull,1.1644,7.0837,0.2612,428100
428101,1762548123,98189551800,98404750297,bull,1.6556,2.5252,0.2192,428100
428102,1762548429,98404750297,98586768973,bull,1.4680,3.1368,0.1850,428100
428103,1762548735,98586768973,98742960216,bull,1.7604,2.3150,0.1584,428100
428104,1762549041,98742960216,98790803416,bull,1.5205,2.9213,0.0485,428100
428105,1762549346,98790803416,98776485931,bear,1.4974,3.0103,-0.0145,428100
428106,1762549652,98776485931,98874172203,bull,1.0363,28.5751,0.0989,428100
428107,1762549958,0,99006500000,bull,1.0522,20.1708,Infinity,428100
428583,1762695686,0,98574594735,bull,3.1704,1.4608,Infinity,428583
428584,1762695992,0,98739425741,bull,2.0275,1.9733,Infinity,428583
428585,1762696298,0,98550157887,bear,3.4203,1.4132,Infinity,428583
428586,1762696604,0,98459999999,bear,1.2239,5.4663,Infinity,428583
428587,1762696911,0,98482632000,bull,4.1578,1.3167,Infinity,428583
428588,1762697216,0,98748658876,bull,1.1112,9.9942,Infinity,428583
428589,1762697522,0,98730788000,bear,1.3576,3.7965,Infinity,428583
428590,1762697828,0,98581996001,bear,1.1459,7.8541,Infinity,428583
428602,1762701500,0,99282504515,bull,1.2176,5.5950,Infinity,428602
428603,1762701807,0,99305894120,bull,1.9043,2.1058,Infinity,428602
428604,1762702112,0,99548999999,bull,1.1648,7.0683,Infinity,428602
428605,1762702418,0,99642034800,bull,1.6896,2.4500,Infinity,428602
428606,1762702724,0,99728900313,bull,3.0117,1.4971,Infinity,428602
428607,1762703030,0,99553702993,bear,10.9391,1.1006,Infinity,428602
428608,1762703336,0,99680072505,bull,3.3676,1.4224,Infinity,428602
428609,1762703642,0,99459377977,bear,1.5648,2.7705,Infinity,428602
428871,1762783886,0,99805457296,bear,1.6382,2.5668,Infinity,428871
428872,1762784192,0,100000075868,bull,2.0174,1.9829,Infinity,428871
428873,1762784498,0,99919046204,bear,1.2904,4.4429,Infinity,428871
428874,1762784804,0,99769331267,bear,1.8727,2.1459,Infinity,428871
428875,1762785110,0,99644468647,bear,1.8339,2.1992,Infinity,428871
428876,1762785416,0,99314122989,bear,2.3849,1.7221,Infinity,428871
428877,1762785722,0,98898523111,bear,1.2735,4.6563,Infinity,428871
428878,1762786028,0,98541577063,bear,1.1909,6.2383,Infinity,428871
428887,1762788783,98671923055,98377729160,bear,2.0152,1.9850,-0.2982,428887
428888,1762789089,98377729160,98605963873,bull,1.8664,2.1542,0.2320,428887
428889,1762789395,98605963873,98371400000,bear,1.3420,3.9240,-0.2379,428887
428890,1762789701,0,97747990061,bear,1.2402,5.1627,Infinity,428887
428891,1762790007,0,97867355281,bull,1.4005,3.4971,Infinity,428887
428892,1762790313,0,97886773749,bull,3.3089,1.4331,Infinity,428887
428893,1762790619,97886773749,98052193800,bull,3.2532,1.4438,0.1690,428887
428894,1762790925,0,98172322000,bull,6.7659,1.1734,Infinity,428887
428930,1762801940,0,98533475185,bull,3.8906,1.3459,Infinity,428930
428931,1762802246,0,98397421762,bear,1.9412,2.0625,Infinity,428930
428932,1762802552,0,98437399620,bull,14.2436,1.0755,Infinity,428930
428933,1762802858,0,98392723752,bear,6.2019,1.1922,Infinity,428930
